date,province,metric,value
2016-03,Saskatchewan,Participation rate,69.6
2016-03,Saskatchewan,Employment rate,65.2
2016-03,Alberta,Unemployment rate,7.3
2016-03,Alberta,Participation rate,72.3
2016-03,Alberta,Employment rate,67.0
2016-03,British Columbia,Unemployment rate,6.2
2016-03,British Columbia,Participation rate,65.1
2016-03,British Columbia,Employment rate,61.1
2016-04,Newfoundland and Labrador,Unemployment rate,12.8
2016-04,Newfoundland and Labrador,Participation rate,61.4
2016-04,Newfoundland and Labrador,Employment rate,53.5
2016-04,Prince Edward Island,Unemployment rate,10.7
2016-04,Prince Edward Island,Participation rate,66.5
2016-04,Prince Edward Island,Employment rate,59.5
2016-04,Nova Scotia,Unemployment rate,8.0
2016-04,Nova Scotia,Participation rate,61.8
2016-04,Nova Scotia,Employment rate,56.9
2016-04,New Brunswick,Unemployment rate,9.5
2016-04,New Brunswick,Participation rate,62.6
2016-04,New Brunswick,Employment rate,56.6
2016-04,Quebec,Unemployment rate,8.0
2016-04,Quebec,Participation rate,64.7
2016-04,Quebec,Employment rate,59.6
2016-04,Ontario,Unemployment rate,7.2
2016-04,Ontario,Participation rate,65.4
2016-04,Ontario,Employment rate,60.7
2016-04,Manitoba,Unemployment rate,6.0
2016-04,Manitoba,Participation rate,68.3
2016-04,Manitoba,Employment rate,64.1
2016-04,Saskatchewan,Unemployment rate,6.7
2016-04,Saskatchewan,Participation rate,69.9
2016-04,Saskatchewan,Employment rate,65.2
2016-04,Alberta,Unemployment rate,7.6
2016-04,Alberta,Participation rate,72.3
2016-04,Alberta,Employment rate,66.8
2016-04,British Columbia,Unemployment rate,5.6
2016-04,British Columbia,Participation rate,64.9
2016-04,British Columbia,Employment rate,61.3
2016-05,Newfoundland and Labrador,Unemployment rate,12.2
2016-05,Newfoundland and Labrador,Participation rate,60.6
2016-05,Newfoundland and Labrador,Employment rate,53.2
2016-05,Prince Edward Island,Unemployment rate,10.7
2016-05,Prince Edward Island,Participation rate,66.0
2016-05,Prince Edward Island,Employment rate,58.9
2016-05,Nova Scotia,Unemployment rate,8.8
2016-05,Nova Scotia,Participation rate,61.7
2016-05,Nova Scotia,Employment rate,56.2
2016-05,New Brunswick,Unemployment rate,10.0
2016-05,New Brunswick,Participation rate,62.7
2016-05,New Brunswick,Employment rate,56.4
2016-05,Quebec,Unemployment rate,7.4
2016-05,Quebec,Participation rate,64.6
2016-05,Quebec,Employment rate,59.9
2016-05,Ontario,Unemployment rate,6.5
2016-05,Ontario,Participation rate,65.2
2016-05,Ontario,Employment rate,60.9
2016-05,Manitoba,Unemployment rate,6.0
2016-05,Manitoba,Participation rate,68.2
2016-05,Manitoba,Employment rate,64.1
2016-05,Saskatchewan,Unemployment rate,6.1
2016-05,Saskatchewan,Participation rate,69.6
2016-05,Saskatchewan,Employment rate,65.4
2016-05,Alberta,Unemployment rate,8.3
2016-05,Alberta,Participation rate,72.3
2016-05,Alberta,Employment rate,66.3
2016-05,British Columbia,Unemployment rate,5.8
2016-05,British Columbia,Participation rate,64.9
2016-05,British Columbia,Employment rate,61.1
2016-06,Newfoundland and Labrador,Unemployment rate,11.9
2016-06,Newfoundland and Labrador,Participation rate,60.4
2016-06,Newfoundland and Labrador,Employment rate,53.2
2016-06,Prince Edward Island,Unemployment rate,10.9
2016-06,Prince Edward Island,Participation rate,66.0
2016-06,Prince Edward Island,Employment rate,58.8
2016-06,Nova Scotia,Unemployment rate,8.0
2016-06,Nova Scotia,Participation rate,61.8
2016-06,Nova Scotia,Employment rate,56.8
2016-06,New Brunswick,Unemployment rate,9.8
2016-06,New Brunswick,Participation rate,63.0
2016-06,New Brunswick,Employment rate,56.8
2016-06,Quebec,Unemployment rate,7.2
2016-06,Quebec,Participation rate,64.5
2016-06,Quebec,Employment rate,59.8
2016-06,Ontario,Unemployment rate,6.5
2016-06,Ontario,Participation rate,65.1
2016-06,Ontario,Employment rate,60.9
2016-06,Manitoba,Unemployment rate,6.2
2016-06,Manitoba,Participation rate,68.0
2016-06,Manitoba,Employment rate,63.8
2016-06,Saskatchewan,Unemployment rate,6.4
2016-06,Saskatchewan,Participation rate,69.7
2016-06,Saskatchewan,Employment rate,65.2
2016-06,Alberta,Unemployment rate,8.2
2016-06,Alberta,Participation rate,71.9
2016-06,Alberta,Employment rate,66.0
2016-06,British Columbia,Unemployment rate,5.9
2016-06,British Columbia,Participation rate,65.0
2016-06,British Columbia,Employment rate,61.1
2016-07,Newfoundland and Labrador,Unemployment rate,12.9
2016-07,Newfoundland and Labrador,Participation rate,60.5
2016-07,Newfoundland and Labrador,Employment rate,52.6
2016-07,Prince Edward Island,Unemployment rate,9.6
2016-07,Prince Edward Island,Participation rate,65.7
2016-07,Prince Edward Island,Employment rate,59.3
2016-07,Nova Scotia,Unemployment rate,8.5
2016-07,Nova Scotia,Participation rate,61.6
2016-07,Nova Scotia,Employment rate,56.3
2016-07,New Brunswick,Unemployment rate,9.9
2016-07,New Brunswick,Participation rate,63.5
2016-07,New Brunswick,Employment rate,57.2
2016-07,Quebec,Unemployment rate,7.2
2016-07,Quebec,Participation rate,64.4
2016-07,Quebec,Employment rate,59.7
